refArea,Number of cases,refPeriod
https://dbpedia.org/resource/Beqaa_Valley,0,http://server/unset-base/01-2015
https://dbpedia.org/resource/Beqaa_Valley,3,http://server/unset-base/02-2015
https://dbpedia.org/resource/Beqaa_Valley,1,http://server/unset-base/03-2015
https://dbpedia.org/resource/Beqaa_Valley,1,http://server/unset-base/04-2015
https://dbpedia.org/resource/Beqaa_Valley,1,http://server/unset-base/05-2015
https://dbpedia.org/resource/Beqaa_Valley,2,http://server/unset-base/06-2015
https://dbpedia.org/resource/Beqaa_Valley,2,http://server/unset-base/07-2015
https://dbpedia.org/resource/Beqaa_Valley,1,http://server/unset-base/08-2015
https://dbpedia.org/resource/Beqaa_Valley,1,http://server/unset-base/09-2015
https://dbpedia.org/resource/Beqaa_Valley,1,http://server/unset-base/10-2015
https://dbpedia.org/resource/Beqaa_Valley,0,http://server/unset-base/11-2015
https://dbpedia.org/resource/Beqaa_Valley,2,http://server/unset-base/12-2015
https://dbpedia.org/resource/South_Governorate,0,http://server/unset-base/01-2015
https://dbpedia.org/resource/South_Governorate,1,http://server/unset-base/02-2015
https://dbpedia.org/resource/South_Governorate,0,http://server/unset-base/03-2015
https://dbpedia.org/resource/South_Governorate,2,http://server/unset-base/04-2015
https://dbpedia.org/resource/South_Governorate,0,http://server/unset-base/05-2015
https://dbpedia.org/resource/South_Governorate,0,http://server/unset-base/06-2015
https://dbpedia.org/resource/South_Governorate,0,http://server/unset-base/07-2015
https://dbpedia.org/resource/South_Governorate,0,http://server/unset-base/08-2015
https://dbpedia.org/resource/South_Governorate,1,http://server/unset-base/09-2015
https://dbpedia.org/resource/South_Governorate,0,http://server/unset-base/10-2015
https://dbpedia.org/resource/South_Governorate,1,http://server/unset-base/11-2015
https://dbpedia.org/resource/South_Governorate,0,http://server/unset-base/12-2015
https://dbpedia.org/resource/Beirut,0,http://server/unset-base/01-2015
https://dbpedia.org/resource/Beirut,0,http://server/unset-base/02-2015
https://dbpedia.org/resource/Beirut,1,http://server/unset-base/03-2015
https://dbpedia.org/resource/Beirut,0,http://server/unset-base/04-2015
https://dbpedia.org/resource/Beirut,0,http://server/unset-base/05-2015
https://dbpedia.org/resource/Beirut,0,http://server/unset-base/06-2015
https://dbpedia.org/resource/Beirut,0,http://server/unset-base/07-2015
https://dbpedia.org/resource/Beirut,0,http://server/unset-base/08-2015
https://dbpedia.org/resource/Beirut,0,http://server/unset-base/09-2015
https://dbpedia.org/resource/Beirut,0,http://server/unset-base/10-2015
https://dbpedia.org/resource/Beirut,0,http://server/unset-base/11-2015
https://dbpedia.org/resource/Beirut,0,http://server/unset-base/12-2015
https://dbpedia.org/resource/North_Lebanon,0,http://server/unset-base/01-2015
https://dbpedia.org/resource/North_Lebanon,0,http://server/unset-base/02-2015
https://dbpedia.org/resource/North_Lebanon,1,http://server/unset-base/03-2015
https://dbpedia.org/resource/North_Lebanon,0,http://server/unset-base/04-2015
https://dbpedia.org/resource/North_Lebanon,1,http://server/unset-base/05-2015
https://dbpedia.org/resource/North_Lebanon,0,http://server/unset-base/06-2015
https://dbpedia.org/resource/North_Lebanon,0,http://server/unset-base/07-2015
https://dbpedia.org/resource/North_Lebanon,0,http://server/unset-base/08-2015
https://dbpedia.org/resource/North_Lebanon,0,http://server/unset-base/09-2015
https://dbpedia.org/resource/North_Lebanon,0,http://server/unset-base/10-2015
https://dbpedia.org/resource/North_Lebanon,1,http://server/unset-base/11-2015
https://dbpedia.org/resource/North_Lebanon,0,http://server/unset-base/12-2015
https://dbpedia.org/resource/Nabatieh_Governorate,1,http://server/unset-base/01-2015
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/02-2015
https://dbpedia.org/resource/Nabatieh_Governorate,1,http://server/unset-base/03-2015
https://dbpedia.org/resource/Nabatieh_Governorate,1,http://server/unset-base/04-2015
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/05-2015
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/06-2015
https://dbpedia.org/resource/Nabatieh_Governorate,1,http://server/unset-base/07-2015
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/08-2015
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/09-2015
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/10-2015
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/11-2015
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/12-2015
https://dbpedia.org/resource/Mount_Lebanon,0,http://server/unset-base/01-2015
https://dbpedia.org/resource/Mount_Lebanon,0,http://server/unset-base/02-2015
https://dbpedia.org/resource/Mount_Lebanon,1,http://server/unset-base/03-2015
https://dbpedia.org/resource/Mount_Lebanon,3,http://server/unset-base/04-2015
https://dbpedia.org/resource/Mount_Lebanon,0,http://server/unset-base/05-2015
https://dbpedia.org/resource/Mount_Lebanon,1,http://server/unset-base/06-2015
https://dbpedia.org/resource/Mount_Lebanon,0,http://server/unset-base/07-2015
https://dbpedia.org/resource/Mount_Lebanon,0,http://server/unset-base/08-2015
https://dbpedia.org/resource/Mount_Lebanon,0,http://server/unset-base/09-2015
https://dbpedia.org/resource/Mount_Lebanon,0,http://server/unset-base/10-2015
https://dbpedia.org/resource/Mount_Lebanon,2,http://server/unset-base/11-2015
https://dbpedia.org/resource/Mount_Lebanon,1,http://server/unset-base/12-2015
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/01-2016
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/02-2016
https://dbpedia.org/resource/Nabatieh_Governorate,1,http://server/unset-base/03-2016
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/04-2016
https://dbpedia.org/resource/Nabatieh_Governorate,2,http://server/unset-base/05-2016
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/06-2016
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/07-2016
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/08-2016
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/09-2016
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/10-2016
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/11-2016
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/12-2016
https://dbpedia.org/resource/Mount_Lebanon,0,http://server/unset-base/01-2016
https://dbpedia.org/resource/Mount_Lebanon,0,http://server/unset-base/02-2016
https://dbpedia.org/resource/Mount_Lebanon,2,http://server/unset-base/03-2016
https://dbpedia.org/resource/Mount_Lebanon,3,http://server/unset-base/04-2016
https://dbpedia.org/resource/Mount_Lebanon,1,http://server/unset-base/05-2016
https://dbpedia.org/resource/Mount_Lebanon,1,http://server/unset-base/06-2016
https://dbpedia.org/resource/Mount_Lebanon,1,http://server/unset-base/07-2016
https://dbpedia.org/resource/Mount_Lebanon,0,http://server/unset-base/08-2016
https://dbpedia.org/resource/Mount_Lebanon,0,http://server/unset-base/09-2016
https://dbpedia.org/resource/Mount_Lebanon,3,http://server/unset-base/10-2016
https://dbpedia.org/resource/Mount_Lebanon,0,http://server/unset-base/11-2016
https://dbpedia.org/resource/Mount_Lebanon,1,http://server/unset-base/12-2016
https://dbpedia.org/resource/North_Lebanon,1,http://server/unset-base/01-2016
https://dbpedia.org/resource/North_Lebanon,0,http://server/unset-base/02-2016
https://dbpedia.org/resource/North_Lebanon,2,http://server/unset-base/03-2016
https://dbpedia.org/resource/North_Lebanon,0,http://server/unset-base/04-2016
https://dbpedia.org/resource/North_Lebanon,2,http://server/unset-base/05-2016
https://dbpedia.org/resource/North_Lebanon,0,http://server/unset-base/06-2016
https://dbpedia.org/resource/North_Lebanon,0,http://server/unset-base/07-2016
https://dbpedia.org/resource/North_Lebanon,2,http://server/unset-base/08-2016
https://dbpedia.org/resource/North_Lebanon,1,http://server/unset-base/09-2016
https://dbpedia.org/resource/North_Lebanon,0,http://server/unset-base/10-2016
https://dbpedia.org/resource/North_Lebanon,0,http://server/unset-base/11-2016
https://dbpedia.org/resource/North_Lebanon,0,http://server/unset-base/12-2016
https://dbpedia.org/resource/Beirut,0,http://server/unset-base/01-2016
https://dbpedia.org/resource/Beirut,0,http://server/unset-base/02-2016
https://dbpedia.org/resource/Beirut,0,http://server/unset-base/03-2016
https://dbpedia.org/resource/Beirut,0,http://server/unset-base/04-2016
https://dbpedia.org/resource/Beirut,0,http://server/unset-base/05-2016
https://dbpedia.org/resource/Beirut,0,http://server/unset-base/06-2016
https://dbpedia.org/resource/Beirut,0,http://server/unset-base/07-2016
https://dbpedia.org/resource/Beirut,0,http://server/unset-base/08-2016
https://dbpedia.org/resource/Beirut,0,http://server/unset-base/09-2016
https://dbpedia.org/resource/Beirut,0,http://server/unset-base/10-2016
https://dbpedia.org/resource/Beirut,0,http://server/unset-base/11-2016
https://dbpedia.org/resource/Beirut,0,http://server/unset-base/12-2016
https://dbpedia.org/resource/Beqaa_Valley,0,http://server/unset-base/01-2016
https://dbpedia.org/resource/Beqaa_Valley,0,http://server/unset-base/02-2016
https://dbpedia.org/resource/Beqaa_Valley,1,http://server/unset-base/03-2016
https://dbpedia.org/resource/Beqaa_Valley,1,http://server/unset-base/04-2016
https://dbpedia.org/resource/Beqaa_Valley,2,http://server/unset-base/05-2016
https://dbpedia.org/resource/Beqaa_Valley,2,http://server/unset-base/06-2016
https://dbpedia.org/resource/Beqaa_Valley,1,http://server/unset-base/07-2016
https://dbpedia.org/resource/Beqaa_Valley,2,http://server/unset-base/08-2016
https://dbpedia.org/resource/Beqaa_Valley,1,http://server/unset-base/09-2016
https://dbpedia.org/resource/Beqaa_Valley,0,http://server/unset-base/10-2016
https://dbpedia.org/resource/Beqaa_Valley,0,http://server/unset-base/11-2016
https://dbpedia.org/resource/Beqaa_Valley,0,http://server/unset-base/12-2016
https://dbpedia.org/resource/Beirut,2,http://server/unset-base/01-2017
https://dbpedia.org/resource/Beirut,1,http://server/unset-base/02-2017
https://dbpedia.org/resource/Beirut,5,http://server/unset-base/03-2017
https://dbpedia.org/resource/Beirut,0,http://server/unset-base/04-2017
https://dbpedia.org/resource/Beirut,0,http://server/unset-base/05-2017
https://dbpedia.org/resource/Beirut,2,http://server/unset-base/06-2017
https://dbpedia.org/resource/Beirut,2,http://server/unset-base/07-2017
https://dbpedia.org/resource/Beirut,0,http://server/unset-base/08-2017
https://dbpedia.org/resource/Beirut,0,http://server/unset-base/09-2017
https://dbpedia.org/resource/Beirut,2,http://server/unset-base/10-2017
https://dbpedia.org/resource/Beirut,2,http://server/unset-base/11-2017
https://dbpedia.org/resource/Beirut,6,http://server/unset-base/12-2017
https://dbpedia.org/resource/Beqaa_Valley,0,http://server/unset-base/01-2017
https://dbpedia.org/resource/Beqaa_Valley,0,http://server/unset-base/02-2017
https://dbpedia.org/resource/Beqaa_Valley,2,http://server/unset-base/03-2017
https://dbpedia.org/resource/Beqaa_Valley,0,http://server/unset-base/04-2017
https://dbpedia.org/resource/Beqaa_Valley,6,http://server/unset-base/05-2017
https://dbpedia.org/resource/Beqaa_Valley,1,http://server/unset-base/06-2017
https://dbpedia.org/resource/Beqaa_Valley,1,http://server/unset-base/07-2017
https://dbpedia.org/resource/Beqaa_Valley,1,http://server/unset-base/08-2017
https://dbpedia.org/resource/Beqaa_Valley,0,http://server/unset-base/09-2017
https://dbpedia.org/resource/Beqaa_Valley,1,http://server/unset-base/10-2017
https://dbpedia.org/resource/Beqaa_Valley,1,http://server/unset-base/11-2017
https://dbpedia.org/resource/Beqaa_Valley,5,http://server/unset-base/12-2017
https://dbpedia.org/resource/South_Governorate,2,http://server/unset-base/01-2017
https://dbpedia.org/resource/South_Governorate,1,http://server/unset-base/02-2017
https://dbpedia.org/resource/South_Governorate,2,http://server/unset-base/03-2017
https://dbpedia.org/resource/South_Governorate,1,http://server/unset-base/04-2017
https://dbpedia.org/resource/South_Governorate,2,http://server/unset-base/05-2017
https://dbpedia.org/resource/South_Governorate,0,http://server/unset-base/06-2017
https://dbpedia.org/resource/South_Governorate,0,http://server/unset-base/07-2017
https://dbpedia.org/resource/South_Governorate,0,http://server/unset-base/08-2017
https://dbpedia.org/resource/South_Governorate,0,http://server/unset-base/09-2017
https://dbpedia.org/resource/South_Governorate,2,http://server/unset-base/10-2017
https://dbpedia.org/resource/South_Governorate,1,http://server/unset-base/11-2017
https://dbpedia.org/resource/South_Governorate,1,http://server/unset-base/12-2017
https://dbpedia.org/resource/North_Lebanon,0,http://server/unset-base/01-2017
https://dbpedia.org/resource/North_Lebanon,0,http://server/unset-base/02-2017
https://dbpedia.org/resource/North_Lebanon,1,http://server/unset-base/03-2017
https://dbpedia.org/resource/North_Lebanon,1,http://server/unset-base/04-2017
https://dbpedia.org/resource/North_Lebanon,6,http://server/unset-base/05-2017
https://dbpedia.org/resource/North_Lebanon,4,http://server/unset-base/06-2017
https://dbpedia.org/resource/North_Lebanon,3,http://server/unset-base/07-2017
https://dbpedia.org/resource/North_Lebanon,1,http://server/unset-base/08-2017
https://dbpedia.org/resource/North_Lebanon,0,http://server/unset-base/09-2017
https://dbpedia.org/resource/North_Lebanon,1,http://server/unset-base/10-2017
https://dbpedia.org/resource/North_Lebanon,1,http://server/unset-base/11-2017
https://dbpedia.org/resource/North_Lebanon,1,http://server/unset-base/12-2017
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/01-2017
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/02-2017
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/03-2017
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/04-2017
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/05-2017
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/06-2017
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/07-2017
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/08-2017
https://dbpedia.org/resource/Nabatieh_Governorate,1,http://server/unset-base/09-2017
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/10-2017
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/11-2017
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/12-2017
https://dbpedia.org/resource/Mount_Lebanon,2,http://server/unset-base/01-2017
https://dbpedia.org/resource/Mount_Lebanon,6,http://server/unset-base/02-2017
https://dbpedia.org/resource/Mount_Lebanon,18,http://server/unset-base/03-2017
https://dbpedia.org/resource/Mount_Lebanon,8,http://server/unset-base/04-2017
https://dbpedia.org/resource/Mount_Lebanon,3,http://server/unset-base/05-2017
https://dbpedia.org/resource/Mount_Lebanon,4,http://server/unset-base/06-2017
https://dbpedia.org/resource/Mount_Lebanon,2,http://server/unset-base/07-2017
https://dbpedia.org/resource/Mount_Lebanon,1,http://server/unset-base/08-2017
https://dbpedia.org/resource/Mount_Lebanon,1,http://server/unset-base/09-2017
https://dbpedia.org/resource/Mount_Lebanon,0,http://server/unset-base/10-2017
https://dbpedia.org/resource/Mount_Lebanon,3,http://server/unset-base/11-2017
https://dbpedia.org/resource/Mount_Lebanon,4,http://server/unset-base/12-2017
https://dbpedia.org/resource/Beirut,1,http://server/unset-base/01-2018
https://dbpedia.org/resource/Beirut,3,http://server/unset-base/02-2018
https://dbpedia.org/resource/Beirut,2,http://server/unset-base/03-2018
https://dbpedia.org/resource/Beirut,7,http://server/unset-base/04-2018
https://dbpedia.org/resource/Beirut,3,http://server/unset-base/05-2018
https://dbpedia.org/resource/Beirut,6,http://server/unset-base/06-2018
https://dbpedia.org/resource/Beirut,0,http://server/unset-base/07-2018
https://dbpedia.org/resource/Beirut,3,http://server/unset-base/08-2018
https://dbpedia.org/resource/Beirut,0,http://server/unset-base/09-2018
https://dbpedia.org/resource/Beirut,1,http://server/unset-base/10-2018
https://dbpedia.org/resource/Beirut,0,http://server/unset-base/11-2018
https://dbpedia.org/resource/Beirut,0,http://server/unset-base/12-2018
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/01-2018
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/02-2018
https://dbpedia.org/resource/Nabatieh_Governorate,1,http://server/unset-base/03-2018
https://dbpedia.org/resource/Nabatieh_Governorate,1,http://server/unset-base/04-2018
https://dbpedia.org/resource/Nabatieh_Governorate,2,http://server/unset-base/05-2018
https://dbpedia.org/resource/Nabatieh_Governorate,1,http://server/unset-base/06-2018
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/07-2018
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/08-2018
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/09-2018
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/10-2018
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/11-2018
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://server/unset-base/12-2018
https://dbpedia.org/resource/North_Lebanon,5,http://server/unset-base/01-2018
https://dbpedia.org/resource/North_Lebanon,1,http://server/unset-base/02-2018
https://dbpedia.org/resource/North_Lebanon,5,http://server/unset-base/03-2018
https://dbpedia.org/resource/North_Lebanon,1,http://server/unset-base/04-2018
https://dbpedia.org/resource/North_Lebanon,8,http://server/unset-base/05-2018
https://dbpedia.org/resource/North_Lebanon,7,http://server/unset-base/06-2018
https://dbpedia.org/resource/North_Lebanon,6,http://server/unset-base/07-2018
https://dbpedia.org/resource/North_Lebanon,4,http://server/unset-base/08-2018
https://dbpedia.org/resource/North_Lebanon,4,http://server/unset-base/09-2018
https://dbpedia.org/resource/North_Lebanon,7,http://server/unset-base/10-2018
https://dbpedia.org/resource/North_Lebanon,30,http://server/unset-base/11-2018
https://dbpedia.org/resource/North_Lebanon,46,http://server/unset-base/12-2018
https://dbpedia.org/resource/South_Governorate,3,http://server/unset-base/01-2018
https://dbpedia.org/resource/South_Governorate,1,http://server/unset-base/02-2018
https://dbpedia.org/resource/South_Governorate,2,http://server/unset-base/03-2018
https://dbpedia.org/resource/South_Governorate,1,http://server/unset-base/04-2018
https://dbpedia.org/resource/South_Governorate,3,http://server/unset-base/05-2018
https://dbpedia.org/resource/South_Governorate,1,http://server/unset-base/06-2018
https://dbpedia.org/resource/South_Governorate,1,http://server/unset-base/07-2018
https://dbpedia.org/resource/South_Governorate,0,http://server/unset-base/08-2018
https://dbpedia.org/resource/South_Governorate,1,http://server/unset-base/09-2018
https://dbpedia.org/resource/South_Governorate,0,http://server/unset-base/10-2018
https://dbpedia.org/resource/South_Governorate,0,http://server/unset-base/11-2018
https://dbpedia.org/resource/South_Governorate,2,http://server/unset-base/12-2018
https://dbpedia.org/resource/Mount_Lebanon,8,http://server/unset-base/01-2018
https://dbpedia.org/resource/Mount_Lebanon,19,http://server/unset-base/02-2018
https://dbpedia.org/resource/Mount_Lebanon,37,http://server/unset-base/03-2018
https://dbpedia.org/resource/Mount_Lebanon,26,http://server/unset-base/04-2018
https://dbpedia.org/resource/Mount_Lebanon,49,http://server/unset-base/05-2018
https://dbpedia.org/resource/Mount_Lebanon,43,http://server/unset-base/06-2018
https://dbpedia.org/resource/Mount_Lebanon,14,http://server/unset-base/07-2018
https://dbpedia.org/resource/Mount_Lebanon,2,http://server/unset-base/08-2018
https://dbpedia.org/resource/Mount_Lebanon,3,http://server/unset-base/09-2018
https://dbpedia.org/resource/Mount_Lebanon,6,http://server/unset-base/10-2018
https://dbpedia.org/resource/Mount_Lebanon,0,http://server/unset-base/11-2018
https://dbpedia.org/resource/Mount_Lebanon,1,http://server/unset-base/12-2018
https://dbpedia.org/resource/Beqaa_Valley,7,http://server/unset-base/01-2018
https://dbpedia.org/resource/Beqaa_Valley,40,http://server/unset-base/02-2018
https://dbpedia.org/resource/Beqaa_Valley,69,http://server/unset-base/03-2018
https://dbpedia.org/resource/Beqaa_Valley,101,http://server/unset-base/04-2018
https://dbpedia.org/resource/Beqaa_Valley,151,http://server/unset-base/05-2018
https://dbpedia.org/resource/Beqaa_Valley,96,http://server/unset-base/06-2018
https://dbpedia.org/resource/Beqaa_Valley,59,http://server/unset-base/07-2018
https://dbpedia.org/resource/Beqaa_Valley,12,http://server/unset-base/08-2018
https://dbpedia.org/resource/Beqaa_Valley,2,http://server/unset-base/09-2018
https://dbpedia.org/resource/Beqaa_Valley,5,http://server/unset-base/10-2018
https://dbpedia.org/resource/Beqaa_Valley,13,http://server/unset-base/11-2018
https://dbpedia.org/resource/Beqaa_Valley,9,http://server/unset-base/12-2018